ID,City,Gender,Product Line,Tax 5%,Total,Date,Payment,COGS,Gross Margin Percentage,Gross Income,Rating
1,Seattle,Female,Health and beauty,26.1415,548.9715,1/5/2019,Mobile payments,522.83,4.761904762,26.1415,9.1
2,Phoenix,Female,Electronic accessories,3.82,80.22,3/8/2019,Mobile Payments,76.4,4.761904762,3.82,9.6
3,Seattle,Male,Home and lifestyle,16.2155,340.5255,3/3/2019,Credit card,324.31,4.761904762,16.2155,7.4
4,Seattle,Male,Health and beauty,23.288,489.048,1/27/2019,Mobile payments,465.76,4.761904762,23.288,8.4
5,Seattle,Male,Sports and travel,30.2085,634.3785,2/8/2019,Mobile payments,604.17,4.761904762,30.2085,5.3
6,Phoenix,Male,Electronic accessories,29.8865,627.6165,3/25/2019,Mobile payments,597.73,4.761904762,29.8865,4.1
7,Seattle,Female,Electronic accessories,20.652,433.692,2/25/2019,Mobile payments,413.04,4.761904762,20.652,5.8
8,Phoenix,Female,Home and lifestyle,36.78,772.38,2/24/2019,Mobile payments,735.6,4.761904762,36.78,8
9,Seattle,Female,Health and beauty,3.626,76.146,1/10/2019,Credit card,72.52,4.761904762,3.626,7.2
10,St. Louis,Female,Food and beverages,8.226,172.746,2/20/2019,Credit card,164.52,4.761904762,8.226,5.9
11,St. Louis,Female,Fashion accessories,2.896,60.816,2/6/2019,Mobile payments,57.92,4.761904762,2.896,4.5
12,St. Louis,Male,Electronic accessories,5.102,107.142,3/9/2019,Mobile Payments,102.04,4.761904762,5.102,6.8
13,Seattle,Female,Electronic accessories,11.7375,246.4875,2/12/2019,Mobile payments,234.75,4.761904762,11.7375,7.1
14,Seattle,Male,Food and beverages,21.595,453.495,2/7/2019,Mobile payments,431.9,4.761904762,21.595,8.2
15,Seattle,Female,Health and beauty,35.69,749.49,3/29/2019,Gift cards,713.8,4.761904762,35.69,5.7
16,St. Louis,Female,Sports and travel,28.116,590.436,1/15/2019,Mobile Payments,562.32,4.761904762,28.116,4.5
17,Seattle,Female,Health and beauty,24.1255,506.6355,3/11/2019,Credit card,482.51,4.761904762,24.1255,4.6
18,Seattle,Male,Sports and travel,21.783,457.443,1/1/2019,Credit card,435.66,4.761904762,21.783,6.9
19,Seattle,Male,Food and beverages,8.2005,172.2105,1/21/2019,Credit card,164.01,4.761904762,8.2005,8.6
20,St. Louis,Female,Home and lifestyle,4.03,84.63,3/11/2019,Mobile payments,80.6,4.761904762,4.03,4.4
21,Phoenix,Male,Electronic accessories,21.51,451.71,2/25/2019,Mobile payments,430.2,4.761904762,21.51,4.8
22,St. Louis,Male,Health and beauty,13.197,277.137,3/5/2019,Mobile payments,263.94,4.761904762,13.197,5.1
23,St. Louis,Male,Home and lifestyle,3.32,69.72,3/15/2019,Credit card,66.4,4.761904762,3.32,4.4
24,Seattle,Male,Electronic accessories,8.64,181.44,2/17/2019,Mobile payments,172.8,4.761904762,8.64,9.9
25,Seattle,Male,Sports and travel,13.2945,279.1845,3/2/2019,Mobile payments,265.89,4.761904762,13.2945,6
26,Seattle,Female,Home and lifestyle,21.036,441.756,3/22/2019,Credit card,420.72,4.761904762,21.036,8.5
27,St. Louis,Male,Fashion accessories,1.676,35.196,2/8/2019,Gift cards,33.52,4.761904762,1.676,6.7
